ID,Title,Final Decision,Year,Evaluator1,Evaluator2,Evaluator3,E1=E2?,Judge reason,Acronym,Venue_name,Authors
A15,Confirming configurations in efsm testing,Exclude,2004,Exclude,Exclude,,TRUE,The paper focuses on deriving test sequences from formal specifications (EFSMs),TSE,IEEE Transactions on Software Engineering,Alexandre Petrenko; Sergiy Boroday; Roland Groz
A16,Detecting BGP Configuration Faults with Static Analysis (Awarded Best Paper),Exclude,2005,Exclude,Exclude,,TRUE,"The paper analyzes real-world, deployed BGP router configurations from 17 ASes and targets network operators diagnosing and debugging configuration faults in operational networks, operating on actual config files rather than at design-time. Network is not in our scope.",NSDI,Symposium on Network System Design and Implementation,Nick Feamster; Hari Balakrishnan
A17,ACMS: The Akamai Configuration Management System,Exclude,2005,Exclude,Exclude,,TRUE,"The paper describes a production, post-deployment configuration management system used to propagate configuration files to >15,000 deployed Akamai servers and explicitly discusses operational actors (publishers, Storage Points, Receivers, NOCC), runtime failures, recovery, and delivery in the live network, so it studies operational configuration management in running systems.",NSDI,Symposium on Network System Design and Implementation,Alex Sherman; Philip A. Lisiecki; Andy Berkheimer; Joel Wein
A18,"Design, implementation, and performance of an automatic configuration service for distributed component systems",Exclude,2005,Exclude,Exclude,,TRUE,The paper focuses on an automatic configuration service that resolves component dependencies and,SPE,Software Practice and Experience,Fbio Kon; Jeferson Roberto Marques; Tomonori Yamane; Roy H. Campbell; M. Dennis Mickunas
A19,"Design, implementation, and performance of an automatic configuration service for distributed component systems: Research Articles",Exclude,2005,Exclude,Exclude,,TRUE,The paper focuses on an automatic configuration service that resolves component dependencies and,SPE,Software Practice and Experience,Fbio Kon; Jeferson Roberto Marques; Tomonori Yamane; Roy H. Campbell; M. Dennis Mickunas
A20,Impact of software engineering research on the practice of software configuration management,Exclude,2005,Exclude,Exclude,,TRUE,The paper focuses on Software Configuration Management (SCM) as a,TOSEM,ACM Transactions on Software Engineering and Methodology,Jacky Estublier; David B. Leblang; André van der Hoek; Reidar Conradi; Geoffrey Clemm; Walter F. Tichy; Darcy Wiborg-Weber
A21,Dependability through Assured Reconfiguration in Embedded System Software,Exclude,2006,Exclude,Exclude,,TRUE,The paper focuses on a design-time architectural framework and formal verification for self-reconfiguring embedded systems to handle runtime faults (fault tolerance),TDSC,IEEE Transactions on Dependable and Secure Computing,Elisabeth A. Strunk; John Knight
A22,Covering arrays for efficient fault characterization in complex configuration spaces,Exclude,2006,Exclude,Exclude,,TRUE,"The paper studies failures and diagnosis in running/fielded systems by executing tests on remote user sites and desktop platforms (Linux and Windows) for the ACE+TAO system, analyzing runtime and compile-time configuration options. Error injection/fuzzing is not in our scope.",TSE,IEEE Transactions on Software Engineering,Cemal Ylmaz; Myra B. Cohen; A. Porter
A23,System- and application-level support for runtime hardware reconfiguration on SoC platforms,Exclude,2006,Exclude,Exclude,,TRUE,The paper focuses on the architectural mechanisms (suspend-resume,USENIX ATC,USENIX Annual Technical Conference,Dimitris Syrivelis; Spyros Lalis
A24,Reconciling software configuration management and product data management,Exclude,2007,Exclude,Exclude,,TRUE,"The paper focuses on design-time and development-phase concerns for developers/software engineers (SCM/PDM reconciliation) with artifacts like system models, workspaces, repositories and metamodels; it describes evolution/versioning policies and tools used during development rather than troubleshooting misconfigurations in deployed/running systems by operators.",ESEC,European Software Engineering Conference (ESEC),Jacky Estublier; Germ; Vega
A25,Automatic configuration of internet services,Exclude,2007,Exclude,Exclude,,TRUE,"The paper explicitly addresses post-deployment, operational configuration of running Internet services: it studies operator-facing automation where per-node daemons monitor live membership and regenerate real configuration files (Apache, Tomcat, MySQL) to prevent and fix misconfigurations. The actors are operators/sysadmins and the work focuses on runtime reconfiguration and parameter tuning in deployed systems.",EUROSYS,EuroSys European Conference on Computer Systems,Wei Zheng; Ricardo Bianchini; Thu D. Nguyen
A26,Comparing the performance of web server architectures,Exclude,2007,Exclude,Exclude,,TRUE,"The paper evaluates alternative web server architectures and compares their runtime performance characteristics. Its focus is performance benchmarking and architectural tradeoff analysis rather than diagnosing, localizing, or repairing configuration errors in deployed systems.",EUROSYS,EuroSys European Conference on Computer Systems,David Pariag; Tim Brecht; Ashif S. Harji; Peter A. Buhr; Amol Shukla; David R. Cheriton
A27,A generic framework to enforce access control in FPGAs with dynamic reconfiguration,Exclude,2007,Exclude,Exclude,,TRUE,The paper proposes an access-control enforcement framework for dynamically reconfigurable FPGAs. It addresses hardware security policy enforcement and FPGA reconfiguration mechanisms rather than troubleshooting software misconfigurations in operational software systems.,ICSE,International Conference on Software Engineering,Markus Kucera; Michael Vetter
A28,Model-based system reconfiguration for dynamic performance management,Exclude,2007,Include,Exclude,Exclude,FALSE,"The paper explicitly targets run-time, post-deployment management: it monitors a deployed SIENA publish/subscribe middleware and performs automatic, model-based dynamic reconfiguration of live components and connections to address performance issues. The actors and artifacts are operational operators/framework components acting on running configurations rather than design-time or compile-time models.",JSS,Journal of Systems and Software,Mauro Caporuscio; Antinisca Di Marco; Paola Inverardi
A29,The design and performance of component middleware for QoS-enabled deployment and configuration of DRE systems,Exclude,2007,Exclude,Exclude,,TRUE,The paper focuses on optimizing the performance (latency,JSS,Journal of Systems and Software,Venkita Subramonian; Gan Deng; Christopher Gill; Jaiganesh Balasubramanian; Liang-Jui Shen; William R. Otte; Douglas C. Schmidt; Aniruddha Gokhale; Nanbor Wang
A30,Odyssey-SCM: An integrated software configuration management infrastructure for UML models,Exclude,2007,Exclude,Exclude,,TRUE,The paper focuses on version control and change management for UML design models during the software development phase (Model-Driven Development),SCP,Science of Computer Programming,Leonardo Murta; Hamilton Oliveira; Carlos Dantas; Luiz Gustavo Lopes; Cláudia Werner
A31,Software Configuration Management,Exclude,2007,Exclude,Exclude,,TRUE,"The paper focuses on Software Configuration Management (SCM) in the context of version control, build management, and software evolution during development, rather than troubleshooting runtime misconfigurations in deployed operational systems.",SCP,Science of Computer Programming,René Krikhaar; Ivica Crnković
A32,AutoBash: improving configuration management with operating system causality analysis,Include,2007,Include,Include,,TRUE,"The paper studies post-deployment misconfiguration troubleshooting for users and system administrators on running systems: it operates on single deployed Linux machines in observation/replay/health-monitoring modes and leverages OS-level causal tracking of processes, files, and predicates to guide fixes.",SOSP,ACM Symposium on Operating Systems Principles,Ya-Yunn Su; Mona Attariyan; Jason Flinn
A33,Autonomic configuration and recovery in a mobile agent©\based distributed event monitoring system,Exclude,2007,Include,Exclude,Exclude,FALSE,"The paper focuses on post-deployment, runtime operational management: it describes how operators (via an SMA) and peer agents detect failures using AgentAlive/AgentFailure events and enforce policies to reconfigure, restart, and repair deployed agents and their event subscriptions. The artifacts and context are running systems (mobile agents, detectors, handlers, event subscriptions) rather than design-time configuration.",SPE,Software Practice and Experience,Anand Tripathi; Devdatta Kulkarni; Harsha Talkad; Muralidhar Koka; Sandeep Karanth; Tanvir Ahmed; Ivan Osipkov
A34,Towards automatic reverse engineering of software security configurations,Include,2008,Include,Include,,TRUE,"The study operates on deployed/running applications: it instruments binaries during initialization and transactions and analyzes real configuration files and test requests to infer policies, targeting detection of security misconfigurations in operational systems. The artifacts (generated scanners/specifications) are intended for operators/analysts to discover misconfiguration-related access-control policies in live or deployed instances.",CCS,ACM Conference on Computer and Communications Security,Rui Wang; XiaoFeng Wang; Kehuan Zhang; Zhuowei Li
A35,FairplayMP: a system for secure multi-party computation,Exclude,2008,Exclude,Exclude,,TRUE,"The paper presents a secure multi-party computation system and studies protocol construction and cryptographic performance. The term configuration is not about software option errors, and the work does not address diagnosis or repair of misconfigurations in deployed software.",CCS,ACM Conference on Computer and Communications Security,Assaf Ben-David; Noam Nisan; Benny Pinkas
A36,Configuration-aware regression testing: an empirical study of sampling and prioritization,Exclude,2008,Exclude,Exclude,,TRUE,"The paper focuses on regression testing of configurable software across versions, using TSL models, covering arrays and test suites to sample and prioritize configurations during testing (a development/test-stage activity). It targets software engineers/testers and test-suite-level instrumentation rather than operators diagnosing or repairing misconfigurations in running production systems.",ISSTA,International Symposium on Software Testing and Analysis,Xiao Qu; Myra B. Cohen; Gregg Rothermel
A37,Finding errors in .net with feedback-directed random testing,Exclude,2008,Exclude,Exclude,,TRUE,The paper studies feedback-directed random testing for .NET programs to find general software faults. It is a software testing technique for bug discovery rather than a method for diagnosing or resolving configuration errors encountered in running systems.,ISSTA,International Symposium on Software Testing and Analysis,Carlos Pacheco; Shuvendu K. Lahiri; Thomas Ball
A38,Incremental covering array failure characterization in large configuration spaces,Exclude,2009,Exclude,Exclude,,TRUE,This work identifies failure-inducing configuration combinations through testing to help developers debug program defects. It does not diagnose or repair misconfigurations encountered by operators in deployed systems and therefore falls outside the scope of misconfiguration troubleshooting.,ISSTA,International Symposium on Software Testing and Analysis,Sandro Fouch; Myra B. Cohen; Adam A. Porter
A39,Automatic system testing of programs without test oracles,Exclude,2009,Exclude,Exclude,,TRUE,"The paper focuses on automated system testing without test oracles. Its goal is fault detection through testing, not troubleshooting misconfigurations in deployed software or helping operators diagnose configuration-related failures.",ISSTA,International Symposium on Software Testing and Analysis,Christian Murphy; Kuang Shen; Gail E. Kaiser
A40,NetPrints: Diagnosing Home Network Misconfigurations Using Shared Knowledge,Exclude,2009,Include,Exclude,Exclude,FALSE,"The paper explicitly targets post-deployment, operational misconfiguration troubleshooting in running home networks: it runs a client on end hosts that scrapes runtime router and end-host configurations and captures network traffic, and it is invoked by end-users/operators when applications fail to diagnose and fix faults. Network is not in our scope.",NSDI,Symposium on Network System Design and Implementation,Bhavish Agarwal; Ranjita Bhagwan; Tathagata Das; Siddharth Eswaran; Venkata N. Padmanabhan; Geoffrey M. Voelker
A41,Automatic instantiation of abstract tests on specific configurations for large critical control systems,Exclude,2009,Exclude,Exclude,,TRUE,"The paper targets post-deployment verification of specific installations by automating instantiation and execution of abstract tests on configured, running control systems; it explicitly addresses test engineers/operators working with configuration databases, sensors/actuators and deployed control software.",STVR,Software Testing Verification and Reliability,Francesco Flammini; Nicola Mazzocca; Antonio Orazzo
A42,Automatically generating predicates and solutions for configuration troubleshooting,Include,2009,Include,Include,,TRUE,"The paper explicitly targets post-deployment operational troubleshooting by observing ordinary users/operators troubleshooting running systems using a modified Unix shell and Linux kernel traces, and it evaluates on real deployed services (Apache, CVS) and generates predicates/solutions for automated recovery. It focuses on operator actions and runtime artifacts (commands, terminal output, file/process causal effects) rather than design-time configuration models.",USENIX ATC,USENIX Annual Technical Conference,Ya-Yunn Su; Jason Flinn
A43,On the (in)security of IPsec in MAC-then-encrypt configurations,Exclude,2010,Exclude,Exclude,,TRUE,The paper focuses on security vulnerability analysis and cryptanalysis of specific,CCS,ACM Conference on Computer and Communications Security,Jean Paul Degabriele; Kenneth G. Paterson
A44,Exploitation of social semantic technology for software development team configuration,Exclude,2010,Exclude,Exclude,,TRUE,"The paper studies recommending software development team members using semantic ontologies and social profiles for managers/HR, not post-deployment/operator troubleshooting; the actors are project managers and developers and the artifacts are ontologies/DOAP/FOAF/ResumeRDF profiles rather than runtime configuration files or live systems.",IETS,IET Software,Rafael Valencia-García; Francisco García-Sánchez; Dagoberto Castellanos-Nieves; Jesualdo Tomás Fernández-Breis; Ambrosio Toval
A45,Power optimization for dynamic configuration in heterogeneous web server clusters,Exclude,2010,Exclude,Exclude,,TRUE,"The paper focuses on dynamic resource management (power optimization and QoS control) via automated runtime adjustments (dynamic voltage scaling, turning nodes on/off), rather than diagnosing or fixing human-induced misconfigurations or configuration-related failures in a troubleshooting context.",JSS,Journal of Systems and Software,Luciano Bertini; Julius Leite; Daniel Mossé
A46,P/S-CoM: Building correct by design Publish/Subscribe architectural styles with safe reconfiguration,Exclude,2010,Exclude,Exclude,,TRUE,The paper focuses on a formal design-time approach (using Z notation and,JSS,Journal of Systems and Software,Imen Loulou; Mohamed Jmaïel; Khalil Drira; Ahmed Hadj Kacem
A47,Automated diagnosis of feature model configurations,Include,2010,Include,Include,,TRUE,"The paper addresses diagnosing and repairing invalid feature-model configurations in software product lines from the perspective of developers/product-line engineers and feature-model artifacts (feature selections, staged configuration, supply-chain evolution).",JSS,Journal of Systems and Software,Jules White; David Benavides; Douglas C. Schmidt; Pablo Trinidad; Brian Dougherty; Antonio Ruiz-Cortés
A48,Enabling Configuration-Independent Automation by Non-Expert Users,Exclude,2010,Exclude,Exclude,,TRUE,"The paper explicitly targets post-deployment, operational automation: it records and replays GUI/windowing traces from end-users/operators on running machines and network devices (e.g., routers, Windows apps) and generalizes them to work across diverse deployed configurations. The actor is non-expert users/operators and the artifacts are live system GUIs and configuration interfaces rather than design-time models, so it fits operational misconfiguration/configuration troubleshooting and remediation.",OSDI,USENIX Symposium on Operating Systems Design and Implementation,Nate Kushman; Dina Katabi
A49,Automating Configuration Troubleshooting with Dynamic Information Flow Analysis,Include,2010,Include,Include,,TRUE,"The paper explicitly targets configuration troubleshooting in running systems by using dynamic information flow analysis to trace how configuration options propagate to failures. It supports diagnosing and localizing configuration errors in operational software, which matches the scope of post-deployment misconfiguration troubleshooting.",OSDI,USENIX Symposium on Operating Systems Design and Implementation,Mona Attariyan; Jason Flinn
A50,Decision-making coordination and efficient reasoning techniques for feature-based configuration,Exclude,2010,Exclude,Exclude,,TRUE,The paper focuses on feature-based product configuration within Software Product Lines (SPL),SCP,Science of Computer Programming,Marcílio Mendonça; Donald Cowan
A51,Improved device driver reliability through hardware verification reuse,Exclude,2011,Exclude,Exclude,,TRUE,The paper improves device driver reliability by reusing hardware verification information. It addresses verification of driver-hardware interactions rather than diagnosis or repair of configuration errors in deployed software systems.,ASPLOS,Architectural Support for Programming Languages and Operating Systems,Leonid Ryzhyk; John Keys; Balachandra Mirla; Arun Raghunath; Mona Vij; Gernot Heiser
A52,Poster: uPro: a compartmentalization tool supporting fine-grained and flexible security configuration,Exclude,2011,Exclude,Exclude,,TRUE,"The paper describes a developer-authored configuration grammar and a runtime compartmentalization mechanism that partitions applications into protection domains; the emphasis is on designing and enforcing isolation (developer/implementation perspective) rather than on diagnosing, localizing, or repairing misconfigurations by operators in deployed systems.",CCS,ACM Conference on Computer and Communications Security,Ben Niu; Gang Tan
A53,Version-consistent dynamic reconfiguration of component-based distributed systems,Exclude,2011,Exclude,Exclude,,TRUE,The paper focuses on a mechanism for safe dynamic reconfiguration (runtime software,ESEC,European Software Engineering Conference (ESEC),Xiaoxing Ma; Luciano Baresi; Carlo Ghezzi; Valerio Panzica La Manna; Jian Lu
A54,Capturing Expert Knowledge for Automated Configuration Fault Diagnosis,Include,2011,Include,Include,,TRUE,"The paper explicitly addresses post-deployment troubleshooting by administrators/operators: it trains a classifier to diagnose reported non-working Apache web server configuration files (runtime artifacts) and to determine whether a user-reported failure is due to configuration, predict fault category, and localize faulty config items.",ICPC,IEEE International Conference on Program Comprehension,Mengliao Wang; Xiaoyu Shi; Kenny Wong
A55,Gocc: A configuration compiler for self-adaptive systems using goal-oriented requirements description,Exclude,2011,Exclude,Exclude,,TRUE,"The paper addresses design-time generation of architectural configurations from KAOS goal models for developers, describing a compiler (gocc) and a requirements-to-architecture workflow in the requirements/development phase rather than operating on deployed/running systems or operator troubleshooting of live configuration files. The evaluation uses a simulator and focuses on implementation and scalability of generated architectures, with no study of post-deployment diagnosis, localization, or repair by operators in production.",ICSE,International Conference on Software Engineering,Hiroyuki Nakagawa; Akihiko Ohsuga; Shinichi Honiden
A56,Comparing the performance of metaheuristics for the analysis of multi-stakeholder tradeoffs in requirements optimisation,Exclude,2011,Exclude,Exclude,,TRUE,The paper compares metaheuristic algorithms for requirements optimization and multi-stakeholder tradeoff analysis. It concerns search-based requirements engineering rather than troubleshooting configuration problems in operational software.,IST,Information and Software Technology,Yuanyuan Zhang; Mark Harman; Anthony Finkelstein; S. Afshin Mansouri
A57,Self-adapting workflow reconfiguration,Exclude,2011,Exclude,Exclude,,TRUE,The paper focuses on self-adaptive dynamic reconfiguration of service workflows (BPEL,JSS,Journal of Systems and Software,R. Baird; Noah Jorgenson; Rose Gamble
A58,Evaluating the impacts of dynamic reconfiguration on the QoS of running systems,Exclude,2011,Exclude,Exclude,,TRUE,The paper focuses on evaluating the performance impact (QoS),JSS,Journal of Systems and Software,Wei Li
A59,Modeling dynamic reconfigurations in Reo using high-level replacement systems,Exclude,2011,Exclude,Exclude,,TRUE,The paper focuses on the formal modeling,SCP,Science of Computer Programming,Christian Krause; Ziyan Maraikar; Alexander Lazovik; Farhad Arbab
A60,An empirical study on configuration errors in commercial and open source systems,Exclude,2011,Exclude,Exclude,,TRUE,"The paper analyzes 546 user-reported misconfiguration cases from deployed systems, explicitly citing a commercial COMP-A storage system used by thousands of customers and four open-source server products, and it studies operators' diagnosis, localization, messages, and fixes in post-deployment/operational contexts.",SOSP,ACM Symposium on Operating Systems Principles,Zuoning Yin; Xiao Ma; Jing Zheng; Yuanyuan Zhou; Lakshmi N. Bairavasundaram; Shankar Pasupathy
A61,Scalable model©\based configuration management of security services in complex enterprise networks,Exclude,2011,Exclude,Exclude,,TRUE,"The paper centres on model-based, design-time policy refinement and automated derivation of configuration files (deployment/generation stage) rather than on diagnosing or repairing misconfigurations observed in running/production systems; the actors are security administrators as model designers and the artifacts are high-level models and generated config files rather than runtime incident logs or operator troubleshooting activities.",SPE,Software Practice and Experience,João Porto de Albuquerque; Heiko Krumm; Paulo Lício de Geus; René Jeruschkat
A62,Automatic (Re)Configuration of IT Systems for Dependability,Exclude,2011,Exclude,Exclude,,TRUE,The paper focuses on the automatic generation (derivation) of configurations from high,TSC,IEEE Transactions on Services Computing,Marco D. Aime; Antonio Lioy; Paolo C. Pomi
A63,Characterization of the Linux configuration system,Exclude,2012,Exclude,Exclude,,TRUE,The paper studies C preprocessor variability and KconÔ¨Åg/defconÔ¨Åg/makefile usage in the Linux source code (source-level and build artifacts) and targets developer/maintenance concerns; it analyzes static/semantic relationships in code rather than operators troubleshooting live systems or repairing runtime misconfigurations.,ICPC,IEEE International Conference on Program Comprehension,Ahmad Jbara
A64,Generating range fixes for software configuration,Exclude,2012,Exclude,Exclude,,TRUE,"The paper focuses on fixing constraint violations in variability models via interactive configurators (eCos/CDL), helping users choose or activate options in configuration files and default/reconfiguration workflows -i.e., pre-deployment/design-time configuration by configurator users, not post-deployment troubleshooting of running systems/operational incidents.",ICSE,International Conference on Software Engineering,Yingfei Xiong; Arnaud Hubaux; Steven She; Krzysztof Czarnecki
A65,Locating features in dynamically configured avionics software,Exclude,2012,Exclude,Exclude,,TRUE,"The work statically analyzes source code and uses model checking for program comprehension and reengineering of dynamically configured avionics software, focusing on source artifacts and developer-facing feature mapping rather than diagnosing or repairing misconfigurations in deployed/running systems by operators.",ICSE,International Conference on Software Engineering,Maxime Ouellet; Ettore Merlo; Neset Sozen; Martin Gagnon
A66,Mining application repository to recommend XML configuration snippets,Exclude,2012,Exclude,Exclude,,TRUE,"The paper explicitly targets programmers producing XML configuration files in an IDE (it is implemented as an Eclipse plug-in) and focuses on recommending snippets during development, so it addresses design-time/configuration authoring rather than post-deployment operator troubleshooting of running systems.",ICSE,International Conference on Software Engineering,Sheng Huang; Yi Lu; Yanghua Xiao; Wei Wang
A67,MC Sandbox: Devising a tool for method-user-centered method configuration,Exclude,2012,Exclude,Exclude,,TRUE,"The paper studies method engineering and interactive tailoring of software development methods by method engineers and systems developers during project setup and execution, focusing on design-time artifacts such as method components, configuration packages and configuration templates. It targets elicitation and negotiation of method requirements in workshops rather than diagnosing, detecting or repairing runtime configuration faults in deployed/operational systems or configuration files.",IST,Information and Software Technology,Fredrik Karlsson; Pär J. Ågerfalk
A68,The Reduceron reconfigured and re-evaluated,Exclude,2012,Exclude,Exclude,,TRUE,"The paper is about designing and implementing a special-purpose processor, compiler and runtime optimizations for executing lazy functional programs on FPGAs; it focuses on system design and performance evaluation rather than post-deployment operator activities. There is no study of deployed system misconfigurations, operator diagnosis, or repairing configuration faults in running services or config files.",JFP,Journal of Functional Programming,Matthew Naylor; Colin Runciman
A69,Structural reconfiguration of systems under behavioral adaptation,Exclude,2012,Exclude,Exclude,,TRUE,"The paper explicitly targets runtime/post-deployment reconfiguration: it repeatedly states reconÔ¨Åguration ""at runtime"" and describes substituting components and adaptors in running systems and initializing them without stopping the system. The artifacts under study are deployed components/adaptors (LTS models of runtime interfaces) and the work is about operational reconfiguration rather than design-time modeling.",SCP,Science of Computer Programming,Carlos Canal; Javier Cámara; Gwen Salaün
A70,A Modeling Approach to Support the Similarity-Based Reuse of Configuration Data,Exclude,2012,Exclude,Exclude,,TRUE,"The paper targets design-time product configuration performed by configuration engineers in product-line engineering (pre-deployment), using feature models, UML/OCL and model-based reuse of configuration artifacts rather than diagnosing or repairing misconfigurations in running/operational systems.",SOSYM,Software and Systems Modeling,Razieh Behjati; Tao Yue; Lionel C. Briand
A71,Model Driven Configuration of Fault Tolerance Solutions for Component-Based Software System,Exclude,2012,Exclude,Exclude,,TRUE,"The paper explicitly targets post-deployment/runtime configuration: it reflects the running system as a runtime software architecture and automatically propagates merged fault-tolerance changes to the target system, and it frames system administrators as the actors for configuration decisions.",SOSYM,Software and Systems Modeling,Yihan Wu; Gang Huang; Hui Song; Ying Zhang
A72,A Product Line Modeling and Configuration Methodology to Support Model-Based Testing: An Industrial Case Study,Exclude,2012,Exclude,Exclude,,TRUE,"The paper addresses design-time product line modeling and configuration to support model-based testing, focusing on UML state machines built once and later configured per product; the actors are testers/modelers and the artifacts are models (not runtime configs) rather than operators troubleshooting deployed systems.",SOSYM,Software and Systems Modeling,Shaukat Ali; Tao Yue; Lionel C. Briand; Suneth Walawege
A73,Weaving-Based Configuration and Modular Transformation of Multi-layer Systems,Exclude,2012,Exclude,Exclude,,TRUE,"The paper focuses on model-driven development and modular model transformations using weaving of design models, i.e., a design-time approach with actors being model engineers/developers and artifacts being separate layer models, not operational configuration files or running systems; it does not study post-deployment/operator troubleshooting of misconfigurations in deployed systems.",SOSYM,Software and Systems Modeling,Galina Besova; Sven Walther; Heike Wehrheim; Steffen Becker
A74,Applying a Consistency Checking Framework for Heterogeneous Models and Artifacts in Industrial Product Lines,Exclude,2012,Exclude,Exclude,,TRUE,The paper applies consistency checking across heterogeneous models and artifacts in industrial product lines. It focuses on design-time model consistency and variability management rather than post-deployment diagnosis of misconfigurations in running systems.,SOSYM,Software and Systems Modeling,Michael Vierhauser; Paul Grünbacher; Wolfgang Heider; Gerald Holl; Daniela Lettner
