Software,Link,Description,Year,Last Modified
Apache httpd,https://stackoverflow.com/questions/296632/apache-access-control,I'm trying to configure Apache to allow read only access and ask for user to write to a SVN repository when you are coming from the local network (10.*) but not allow any access unless logged in when ...,2008,2009
Apache httpd,https://stackoverflow.com/questions/302679/running-a-django-site-under-mod-wsgi,"I am trying to run my Django sites with mod_wsgi instead of mod_python (RHEL 5). I tried this with all my sites, but get the same problem. I configured it the standard way everyone recommends, but req...",2008,2008
Apache httpd,https://stackoverflow.com/questions/335433/how-to-timestamp-request-logs-with-millisecond-accuracy-in-apache-2-0,How do I configure Apache 2.0's log format so that it timestamps each request log with millisecond (or microsecond) accuracy? The docs say that timestamps are specified in strftime format and strftime...,2008,2008
Apache httpd,https://stackoverflow.com/questions/364429/how-do-i-generate-an-ssl-certificate-with-microsoft-certificate-services-and-the,"I've generated a certificate request, submitted it to the Microsoft Certificate Services program. It issues the certificate. I downloaded it to conf/ssl/server.cert I configured it in apache to using ...",2008,2008
Apache httpd,https://stackoverflow.com/questions/374571/apache-web-server-redirect-post-request,I configured apache on 4 ports (with virtual hosts as some ports used HTTPS) and the aim is to redirect post requests to different servlets running in a TOMCAT instance on some other machine. The call...,2008,2013
Apache httpd,http://serverfault.com/questions/89399/https-timeout-while-http-works,https timeout while http works,2009,2014
Apache httpd,https://stackoverflow.com/questions/1055045,Apache on Windows and Fiddler,2009,2014
Apache httpd,https://serverfault.com/questions/18789/ssl-error-handshake-failure-alert-with-commercial-ca-based-client-certificate,ssl_error_handshake_failure_alert with Commercial CA-based client certificate,2009,2010
Apache httpd,https://serverfault.com/questions/22869/have-i-messed-up-buying-the-wrong-ssl-certificate-for-my-domain,Have I messed up buying the wrong SSL certificate for my domain?,2009,2010
Apache httpd,http://serverfault.com/questions/76222/apache-not-letting-me-into-a-folder,apache not letting me into a folder,2009,2009
Apache httpd,https://serverfault.com/questions/22369/what-should-the-django-settings-module-be-set-to-in-apache-when-deploying-a-djan,What should the DJANGO_SETTINGS_MODULE be set to in Apache when deploying a django app?,2009,2009
Apache httpd,https://serverfault.com/questions/98055/django-could-not-import-settings-settings-py-error,Django °∞Could not import settings 'settings.py'°± error,2009,2009
Apache httpd,https://serverfault.com/questions/70243/mod-rewrite-cakephp-routing-functionality-forbidden-after-snow-leopard-upgrade,Mod_rewrite (CakePHP routing functionality) forbidden after Snow Leopard upgrade,2009,2011
Apache httpd,https://serverfault.com/questions/46871/apache-configuration-for-drupal-multisite,apache configuration for drupal multisite,2009,2009
Apache httpd,https://stackoverflow.com/questions/419675/relocate-apaches-configuration-files,is there a chance to use different location for apache's config files (on Windows)? Other than having to compile it myself and setting the proper #define HTTPD_ROOT value. Thx rezna...,2009,2009
Apache httpd,https://stackoverflow.com/questions/458214/apache-resolving-urls-before-looking-in-htaccess,"I have a rewrite rule of the following form: RewriteRule ^foo/([a-zA-Z0-9]+)$ foo.php?arg=$1 [qsa,nc] It takes urls of the form /foo/bar and changes them to /foo.php?arg=bar It works properly locally,...",2009,2015
Apache httpd,https://stackoverflow.com/questions/512579/how-to-reduce-the-number-of-cert-validation-requests-ie-is-killing-me-slowly,"On a customer's internal network, I can make a request to my SSL site using IE6 SP1 (on Win2K) and see one cert validation requests, but if I use IE6 SP2 (on XP) 13 separate cert validation requests g...",2009,2010
Apache httpd,https://stackoverflow.com/questions/545442/htaccess-file-causing-internal-server-error,"I have copied the files and database from BradPPresents.com to BradP.com . The .htaccess file is required to get pages to display properly since ""Pretty URLs"" are enabled by joomla!. You can see that ...",2009,2012
Apache httpd,https://stackoverflow.com/questions/577668/apache-requestheader-directive-in-htaccess,I am trying to use the following apache configuration on a Godaddy shared hosting account: RequestHeader unset Host RequestHeader append Host mydomain.com The above is contained in a .htaccess file. I...,2009,2009
Apache httpd,https://stackoverflow.com/questions/580032/apache2-authorize-users-against-a-location-using-basicauth-but-only-for-users,"In my Apache 2 config I have a VirtualHost which looks something like this: ServerName sub.domain.com # username:password sent on to endpoint RequestHeader set Authorization ""Basic dXNlcm5hbWU6cGFzc3d...",2009,2011
Apache httpd,https://stackoverflow.com/questions/582156/is-apache-tomcat-built-on-apache-web-server-platform,Recently our Software Analytic provider ( NETTRACKER ) sent us a plugin in order to be able to capture visitors in a better way. This plugin is for Apache 1.x and Apache 2.x. They said and I quote tha...,2009,2012
Apache httpd,https://stackoverflow.com/questions/582631/setting-up-django-with-mod-python-apache-on-suse-with-alias,"I'm having major problems getting Django working with my Apache configuration. I did not create the server, so I don't have too much leeway as to how the server works. Essentially there are three virt...",2009,2009
Apache httpd,https://stackoverflow.com/questions/583705/redirecting-urls-with-specific-get-parameters,"I have this old survey link that is has been superseded by another link, so basically I want anyone trying to access the URL: http://mywebsite.com/survey/view_survey.php?surveyID=1 To be redirected to...",2009,2016
Apache httpd,https://stackoverflow.com/questions/596520/with-apache-httpd-how-do-i-configure-no-caching-for-a-given-useragent,"I have Apache HTTPD configured to add a cache header to requests for most static content: ExpiresActive On ExpiresDefault ""access plus 1 year"" # Force JNLP and BSH files to expire immediately so updat...",2009,2009
Apache httpd,https://stackoverflow.com/questions/622466/how-to-put-apache-website-to-503-temporary-down,"RFC2616, 503 Service Unavailable The server is currently unable to handle the request due to a temporary overloading or maintenance of the server How to configure Apache 2.2 to serve particular name b...",2009,2012
Apache httpd,https://stackoverflow.com/questions/646207/same-port-but-different-documentroots,"I open up a port, let's say port 81 to listen to incoming requests. If the incoming request is www.myexample.com, then I want to redirect it to C:\myexamplemain folder. If the incoming request is blog...",2009,2009
Apache httpd,https://stackoverflow.com/questions/683052/why-am-i-getting-an-apache-proxy-503-error,"My server was doing just fine up until yesterday. It was running Redmine , and it was the happiest little server until my ""friend"" imported a SQL table that my little guy couldn't take. Unfortunately,...",2009,2016
Apache httpd,https://stackoverflow.com/questions/693098/how-can-i-setup-apache-to-serve-svn-with-this-particular-url-configuration,I have a VPS and i'm trying to host several SVN projects. I'd like the URL paths to be like this: http://svn.domain.com -> Welcome HTML page (at /var/www/svn.domain.com/httpdocs/index.php) http://svn....,2009,2009
Apache httpd,https://stackoverflow.com/questions/719925/how-to-prevent-hackers-from-exploiting-apache-sites-available-default-file,"We noticed that a hacker created a domain and configured DNS to point it to our server's IP address. We are using apache2.x on Ubuntu. There is a ""default"" file in apache's /etc/apache2/sites-availabl...",2009,2010
Apache httpd,https://stackoverflow.com/questions/724599/setting-up-an-apache-proxy-with-authentication,"I need to set up a proxy with authentication to verify the behavior of an application that connects to the internet. I am trying to set-up an Apache installation with forward proxy and authentication,...",2009,2009
Apache httpd,https://stackoverflow.com/questions/758351/virtualhost-for-wildcard-subdomain-and-static-subdomain,"I have an odd situation where I want to have the URLs app1.example.com , example.com and *.example.com all using a different virtual host. This is what I have (excluding example.com because it just ma...",2009,2017
Apache httpd,https://stackoverflow.com/questions/766891/how-to-programmatically-adjust-the-disable-directive-in-the-mod-jk-load-balancer,We have a setup where we have one httpd (apache) with mod_jk talking in a load balance setup to three tomcat servers. We have to recycle each tomcat instance envery three hours. So tomcat1 will restar...,2009,2019
Apache httpd,https://stackoverflow.com/questions/785966/apache-2-2-ignoring-virtualdocumentroot-virtualhosts,I have several domains that I would like to have wildcard subdomains enabled for through mod_vhost_alias Included in my httpd.conf I have the following generalized rules: ServerName domain1.com Server...,2009,2011
Apache httpd,https://stackoverflow.com/questions/799354/configure-apache-to-use-python-just-like-cgi-php,I think one commonly known way of adding PHP to an Apache webserver is to configure it like this: ScriptAlias /php5.3 /usr/local/php5.3/bin Action application/php5.3 /php5.3/php-cgi AddType applicatio...,2009,2014
Apache httpd,https://stackoverflow.com/questions/799649/apache-rewrite-rule-forces-download,I'm trying to port a PHP site developed by another coder (who is no longer around) and I'm having a problem with the Apache Rewrite rules which are prompting a file download on the target server. I'm ...,2009,2009
Apache httpd,https://stackoverflow.com/questions/803876/configure-apache-for-system-passwords,"I know I can use htpasswd to create a password file for apache, but how do I configure it to use valid users or groups from the system?...",2009,2009
Apache httpd,https://stackoverflow.com/questions/805907/get-apache-linux-user-from-php,I'm on a foreign linux system and need to determine the user that apache runs on (and so does php). The aim: I need to get the owner of the script (this is no problem as I can use SplFileInfo) and com...,2009,2009
Apache httpd,https://stackoverflow.com/questions/813876/apache-shutting-down-unexpectedly,"I have a mongrel server running behind Apache. It works fine; however, every now and then the Apache server shuts downs seemingly by itself. I'm not sure if there is configuration issue or if it's an ...",2009,2009
Apache httpd,https://stackoverflow.com/questions/829953/how-can-i-get-around-this-invalid-classloader-hierarchy,"I run iPlanet's Java application server, something in it is loading commons-logging-1.0.4.jar . That's fine until one of my applications calls AuthSSLProtocolSocketFactory which is another apache libr...",2009,2013
Apache httpd,https://stackoverflow.com/questions/834066/unwanted-mod-rewrite-behaviour,"I just did a fresh install of lamp stack on ubuntu and enabled the mod_rewrite module for my default website. What I want is something similar to the drupal's queries, when the whole query string is k...",2009,2014
Apache httpd,https://stackoverflow.com/questions/869092/how-to-enable-mod-rewrite-for-apache-2-2,"I've got fresh install of Apache 2.2 on my Vista machine, everything works fine, except mod rewrite. I've uncommented LoadModule rewrite_module modules/mod_rewrite.s but none of my rewrite rules works...",2009,2020
Apache httpd,https://stackoverflow.com/questions/886959/strange-css-apache-problem,"I have been trying to install ReviewBoard and all looks like it has gone well, in as much as I can access the site and functionality However, I have strangeness where no style sheet appears to be appl...",2009,2009
Apache httpd,https://stackoverflow.com/questions/888360/getting-apache-to-execute-command-on-every-page-view,"Is there any way to get Apache to run a command/program every time a web page is requested? I know I could scan the logs for new entries every minute or so, but can I get Apache to directly call the c...",2009,2009
Apache httpd,https://stackoverflow.com/questions/901286/what-is-the-java-equivalent-to-webmin,webmin is a administration/UI framework for configuring software. I am curious if anyone know what the Java equivalent might be?...,2009,2010
Apache httpd,https://stackoverflow.com/questions/913079/how-do-i-configure-apache-to-forward-some-urls-to-my-servlet-container-regardles,"How do I configure Apache to forward a URLa of a certain extension, say *.htm to my Servlet container, in this case, Resin, without first checking for the file's existence. Currently, if Apache can no...",2009,2009
Apache httpd,https://stackoverflow.com/questions/913632/apache-prefork-mod-wsgi-spawned-process-count-seemingly-past-configuration,"in a production environment running nginx reversing back to apache mpm-prefork/mod_wsgi, im seeing 90 apache child processes, when i would expect that 40 would be the maximum, as configured below. the...",2009,2009
Apache httpd,https://stackoverflow.com/questions/931904/diacritics-problem-in-project-made-with-zend-framework,found a interesting problem during testing our web application. I have application on localhost (Windows) and online testing server (Linux). Both are connected to same DB (on Linux server). When I tri...,2009,2009
Apache httpd,https://stackoverflow.com/questions/943000/flash-based-file-upload-swfupload-fails-with-apache-mod-wsgi,This question has been retitled/retagged so that others may more easily find the solution to this problem. I am in the process of trying to migrate a project from the Django development server to a Ap...,2009,2009
Apache httpd,https://stackoverflow.com/questions/945047/htaccess-not-working-mod-rewrite,"I have not having any luck getting my .htaccess with mod_rewrite working. Basically all I am trying to do is remove 'www' from "" http://www.example.com "" and "" https://www.example.com "". If there is a...",2009,2009
Apache httpd,https://stackoverflow.com/questions/956536/set-up-a-specific-svn-repository,"I would like to set up an SVN Repository on this Old machine I have at home and make it available over the net. This Computer is quite old, so I want to use Ubuntu Linux. I browsed around for some tim...",2009,2009
Apache httpd,https://stackoverflow.com/questions/970953/testing-for-mysterious-load-errors-in-python-django,"This is related to this Configure Apache to recover from mod_python errors , although I've since stopped assuming that this has anything to do with mod_python. Essentially, I have a problem that I was...",2009,2017
Apache httpd,https://stackoverflow.com/questions/992326/rewriterule-for-mapping-x-domain-com-to-y-domain-com,Is it possible to redirect all requests to x.domain.com/.* to y.domain.com/.* WITHOUT letting this redirection be visible in the url? I have unsuccessfully tried several things in .htaccess. Just spec...,2009,2009
Apache httpd,https://stackoverflow.com/questions/996079/throttle-download-traffic-in-apache-for-all-users,Lets say I subdomain called largefiles.domain.com This is on a dedicated server and I can change any configuration. Server runs Apache/2.2.3 (CentOS) How do i restrict all file downloads to just 10Kbp...,2009,2009
Apache httpd,https://stackoverflow.com/questions/1263610/mod-rewrite-fail-htaccess-or-server-config-issue,"The application i'm developing uses a certain file directory structure. Via the use of mod_rewrite and .htaccess files, i manage to have friendly urls for our users. It works fine on my local server, ...",2009,2009
Apache httpd,https://stackoverflow.com/questions/1464728/internal-server-error-500-in-simple-cgi-script,"I am trying to run a simple cgi script after configuring my server. My script looks like this: print ""Content-type: text/html"" print print "" CGI "" print "" "" print ""hello cgi"" print "" "" print "" "" When ...",2009,2021
Apache httpd,https://stackoverflow.com/questions/1617467/internal-server-error,"The error message I gen when I try to access the web page server ""192.168.50.29/cgi-bin/tinyPL.cgi""; looks like this: Internal Server Error The server encountered an internal error or misconfiguration...",2009,2009
Apache httpd,https://stackoverflow.com/questions/406419/monit-daemon-apache-status-connection-failure,"I'm setting up a cluster of servers for the company I work at, and I'm using Monit to monitor that all server processes are running and working as they should. For Apache monitoring, I wanna use the m...",2009,2009
Apache httpd,https://stackoverflow.com/questions/421254/sso-plus-ssl-and-shibboleth-what-options-for-sites-with-numerous-virtual-hosts,"Background: Customer X is a low-budget non-profit outfit that nonetheless has a lot of activity configured on virtual hosts, and the virtual hosts multiply very frequently. Customer X also has a lot o...",2009,2017
Apache httpd,https://stackoverflow.com/questions/428416/setting-the-umask-of-the-apache-user,I am setting up a LAMP server and would like to set Apache's umask setting to 002 so that all Apache-created files have the group write permission bit set (so members of the same group can overwrite t...,2009,2017
Apache httpd,https://stackoverflow.com/questions/458757/wildcard-subdomains-in-iis7-is-it-possible-to-make-them-like-it-is-in-apache,Is this possible to configure IIS7 to achieve the same functionality like Apache has regarding wildcard domains? I'm interested in routing user in ASP.NET web application based on subdomain user used ...,2009,2018
Apache httpd,https://stackoverflow.com/questions/477986/stdout-when-running-django-as-fastcgi,"I have configured my Django app to run under Apache+FastCGI on Linux (Ubuntu, if it matters). My question is: how to redirect stdout to a file when running Django as fastcgi. EDIT To clarify: I am fam...",2009,2009
Apache httpd,https://stackoverflow.com/questions/479658/how-can-i-get-apache-http-server-2-2-and-iis-5-1-to-both-work-on-my-localhost,"I figured the easiest thing to do was to just change the port number that Apache listens to, but I still can't get it to start back up after installing IIS. My IIS currently serves up pages correctly ...",2009,2009
Apache httpd,https://stackoverflow.com/questions/499068/clean-url-redirect-loop,I'm trying to create clean URLs on my website. Now I succeeded in configuring apache so every request like mysite.com/page will work. But I also want that requests for mysite.com/page.php will be redi...,2009,2013
Apache httpd,https://stackoverflow.com/questions/502524/code-highlighting-for-subversion-apache-server,I have beeen looking around for a way to add code highlighting to my Subversion and Apache installation that hosts my local subversion projects. It runs on Fedora Core 10 installed in a VM. I would li...,2009,2009
Apache httpd,https://stackoverflow.com/questions/548493/jcc-initvm-doesnt-return-when-mod-wsgi-is-configured-as-daemon-mode,"I am using mod-wsgi with django, and in django I use pylucene to do full text search. While mod-wsgi is configured to be embedded mode, there is no problem at all. But when mod-wsgi is configured to b...",2009,2009
Apache httpd,https://stackoverflow.com/questions/589368/how-to-redirect-different-sub-domain-requests-to-different-port,"I have two applications, one is the www.myexample.com , another is the blog.myexample.com . I am using PHP and Apache. Now, I want to let www.myexample.com runs on port 82 of my machine, and blog.myex...",2009,2019
Apache httpd,https://stackoverflow.com/questions/647005/workflow-for-configuring-apache-on-a-webfaction-account-via-ssh-and-ftp-django,"I'm new at this, however, when it comes to configuring mod_python/apache or wsgi/apache I suffer. I've been able to use the python debugger tool.. pdb.set_trace() to success, especially when using the...",2009,2009
Apache httpd,https://stackoverflow.com/questions/658535/mod-rewrite-rule-to-check-for-maintenance-page-except-for-certain-subdomains,I have configured Apache to look for the presence of a maintenance page and redirect to that page if it is present: RewriteCond %{DOCUMENT_ROOT}/system/maintenance.html -f RewriteCond %{SCRIPT_FILENAM...,2009,2009
Apache httpd,https://stackoverflow.com/questions/678775/use-server-settings-to-force-ie-to-open-word-documents-in-word-and-not-in-ie,I've been beating my head against the wall trying to figure out how I can force IE to download and open a Word document in Word instead of opening in Word window embedded inside of IE. Googling around...,2009,2009
Apache httpd,https://stackoverflow.com/questions/710402/apache-how-to-limit-virtual-dir-to-local-network,"On my Apache 2.x server at home, I have a number of virtual directories. I've set up my router so that I can access Apache from the internet. I need to keep one of those virtual dirs (/private) from b...",2009,2009
Apache httpd,https://stackoverflow.com/questions/741424/document-ready-not-executing-on-every-load,I have a strange problem. I have a jQuery document.ready function executing some script on the page. When I was testing it through opening the file with firefox/opera it worked. When I uploaded it to ...,2009,2009
Apache httpd,https://stackoverflow.com/questions/764312/how-do-i-modify-sys-path-from-htaccess-to-allow-mod-python-to-see-django,"The host I'm considering for hosting a Django site has mod_python installed, but does not have Django. Django's INSTALL file indicates that I can simply copy the django directory to Python's site-pack...",2009,2009
Apache httpd,https://stackoverflow.com/questions/803915/cannot-get-started-with-mod-rewrite,I have in the past successfully managed to copy/edit/paste rewrite rules on an apache server over which I had limited control. Now however I am experimenting with an Apache server which I can restart ...,2009,2009
Apache httpd,https://stackoverflow.com/questions/807477/configuring-subversion-to-use-system-users-passwords,"I'm using Subversion 1.6.1 with Apache , on a Linux machine. The server is running over http, not https. I want to allow people to authenticate using the same login/password that they use to log into ...",2009,2009
Apache httpd,https://stackoverflow.com/questions/809909/basic-apache-server-mapping-127-0-0-1-to-10-0-0-78000,"I'm working on this project where the client has a virtual server setup. I installed apache and such and got everything working fine on localhost. But in order for it to show up on the internets, the ...",2009,2009
Apache httpd,https://stackoverflow.com/questions/818403/configure-apache-to-forward-dynamic-page-requests-to-tomcat-in-friendly-url-scen,"I have a website with friendly urls. I want all url¬¥s that end with .htm, .gif, .jpg, .css, .js be served directly by the Apache web server and the rest passed on to Tomcat. examples of dynamic url¬¥s ...",2009,2009
Apache httpd,https://stackoverflow.com/questions/821820/how-does-phusion-passenger-reuse-threads-and-processes,I am setting up an Apache2 webserver running multiple Ruby on Rails web applications with Phusion Passenger. I know that Passenger spawns Ruby processes for handling requests. I have the following que...,2009,2009
Apache httpd,https://stackoverflow.com/questions/831119/how-do-i-set-x-ua-compatible-header-to-ie-emulateie7-for-ie-8-browsers-using-apa,"I am able to set this header X-UA-Compatible ""IE=EmulateIE7"" using the following directive in my Apache 2.0 httpd.conf file: Header set X-UA-Compatible ""IE=EmulateIE7"" How can I configure Apache to on...",2009,2009
Apache httpd,https://stackoverflow.com/questions/881319/having-a-cgi-script-catch-all-requests-to-a-domain-with-apache,"Using Apache 2, I want to configure my website so that any requests to the domain are forwarded to a Python CGI script. Basically, if the user goes to http://www.example.com i want the cgi /cgi-bin/cg...",2009,2009
Apache httpd,https://stackoverflow.com/questions/901097/set-charset-in-rails-application,"I'm trying to setup my charset in a html view in a RoR application. I configured already the charset by meta equiv tag: **meta http-equiv=""Content-Type"" content=""text/html; charset=iso-8859-1"" ** It d...",2009,2013
Apache httpd,https://stackoverflow.com/questions/919008/ec2onrails-ssl-apache-no-response-on-port-443,"I'm trying to configure SSL on EC2onrails with no luck. At present I am unable to even telnet into my server at port 443, it simply says trying MY.IP.ADDRESS... and stays there indefinitely. Telnet in...",2009,2011
Apache httpd,https://stackoverflow.com/questions/946745/mercurial-push-abort-authorization-failed,I'm having problems with pushing to mercurial repository: $ hg push pushing to https://user:***@hg.domain.com/X_repo searching for changes abort: authorization failed The same URL (with the same crede...,2009,2009
Apache httpd,https://stackoverflow.com/questions/959016/howto-transfer-a-request-made-to-an-apache-server-to-an-iis-server-without-using,"My Apache 2.2.9 runs on Debian Lenny 5.0.1 with 2 network interfaces, one interface has a public IP and hostname, the other is not configured. This machine caters to services that run on the LAMP stac...",2009,2009
Apache httpd,https://stackoverflow.com/questions/966907/specify-smtp-server-for-php-mail-in-freebsd,"I have two dedicated servers, one of which is configured for sending email out (SPF, DKIM, other domain whitelisting methods, etc). I need to send email from both servers, but I want to send mail from...",2009,2009
Apache httpd,https://stackoverflow.com/questions/972629/mono-mod-mono-apache-httpd-on-fedora-10-failing-to-start-correctly,It seems I am one of the few trying to get Mono's mod_mono to run on httpd on Fedora 10. Mono is installed and the httpd is configured to use mod_mono.conf But when I do this: service httpd start I ge...,2009,2009
Apache httpd,https://stackoverflow.com/questions/984834/map-virtual-directory-to-another-web-server-in-apache,"Is it possible to configure Apache web server to map a directory to a path on another web server? For example, can I make requests for http://server1/resource/ return http://server2/resource/ . If thi...",2009,2019
Apache httpd,https://stackoverflow.com/questions/991794/help-diagnosing-a-subversion-error,"My site was down today for about an hour while my host was doing some updates to the box I am on. the updates were a PostgreSQL update, Apache Recompilation, and Cpanel update. After the updates were ...",2009,2009
Apache httpd,https://stackoverflow.com/questions/1028408/is-there-a-python-interface-to-the-apache-scoreboard-for-server-statistics,"In short: Is there an existing open-source Python interface for the Apache scoreboard IPC facility? I need to collect statistics from a running server WITHOUT using the "" mod_status "" HTTP interface, ...",2009,2009
Apache httpd,https://stackoverflow.com/questions/998409/mac-os-built-svn-from-source-now-apache2-not-loading-sites,"This relates to another question I asked earlier today. I built SVN 1.6.2 from source. In the process, it has completely screwed up my dev environment. After I built SVN, Apache wasn't loading. It was...",2009,2010
Apache httpd,https://stackoverflow.com/questions/1055045/apache-on-windows-and-fiddler,I need to monitor HTTP traffic in my dev env which is PHP/Apache/Windows. But Apache seems to refuse the HTTP requests coming from fiddler which sits between the browser and Apache. Error is No connec...,2009,2014
Apache httpd,https://stackoverflow.com/questions/1095167/apache-2-joomla-1-0-x-configuration-causes-malformed-response-in-ie-6,"A friend of mine has inherited an old Joomla 1.0.x site, that amongst other things has a big problem with IE visitors. The site is viewable here: http://intellepark.co.za If you browse the site with F...",2009,2009
Apache httpd,https://stackoverflow.com/questions/1109241/502-bad-gateway-invalid-response-from-upstream-server-apache-and-jboss,"I'm using apache on one machine to serve requests to jboss on another machine. Everything works fine when I startup jboss and I'm able to access the web app, but after a few hours I eventually start g...",2009,2009
Apache httpd,https://stackoverflow.com/questions/1112387/problem-enabling-htaccess,I'm trying to enable .htaccess files on a Ubuntu server I set up. I changed the sites file from: ServerAdmin webmaster@localhost DocumentRoot /var/www Options FollowSymLinks AllowOverride None Options...,2009,2009
Apache httpd,https://stackoverflow.com/questions/1223754/diff-in-mod-rewrite-on-apache-1-3-and-2-2,What is the difference in mod_rewrite between Apache 1.3(.37) and 2.2(.11)? RewriteEngine On RewriteCond %{SCRIPT_FILENAME} !-d RewriteCond %{SCRIPT_FILENAME} !-f RewriteRule ^pages/edit(account|page)...,2009,2012
Apache httpd,https://stackoverflow.com/questions/1225594/apache-13-permission-denied-in-users-home-directory,My friend's website was working fine until he moved the document root from /var/www/xxx to /home/user/xxx . Apache gives 13 permission denied error messages when we try to access the site via a web br...,2009,2012
Apache httpd,https://stackoverflow.com/questions/1324594/flex-reverse-proxy-issues,I'm currently working on setting up a reverse proxy for testing a flex-based web application. The current setup is using mod _ proxy (with mod _ proxy _ http) to reverse proxy to another host. Everyth...,2009,2009
Apache httpd,https://stackoverflow.com/questions/1508406/mod-python-produces-no-output,"Just installed and configured mod_python 3.2.8 on a CentOS 5 (Apache 2.2.3) server with Python 2.4.3. It is loaded fine by Apache. I activated the mpinfo test page and it works. So I wrote a simple ""H...",2009,2009
Apache httpd,https://stackoverflow.com/questions/1635921/my-cgi-script-cant-write-to-cgi-bin-folder-of-apache,I m working on a python version cgi script which needs to create img files (which will be shown on the web page) in cgi-bin folder. But it fails with: [Wed Oct 28 16:13:51 2009] [error] [client ::1] O...,2009,2009
Apache httpd,https://stackoverflow.com/questions/1695407/htaccess-not-working,RewriteEngine on RewriteCond $1 !^(index\.php|files|assets|robots\.txt) RewriteRule ^(.*)$ ./index.php/$1 [L] The website is hosted on the latest version of XAMPP locally . When I load the website wit...,2009,2009
Apache httpd,https://stackoverflow.com/questions/1717946/cant-call-method-dir-path-on-an-undefined-value-when-running-mason-componen,"Greetings, I'm trying to develop some tests for Mason components which requires running them on the command line instead of the web server. When I try this, I get an error: perl -MHTML::Mason::Request...",2009,2017
Apache httpd,https://stackoverflow.com/questions/1910857/apache-velocity-is-there-a-standard-way-of-verifying-the-correctness-of-a-templ,Our website uses the Apache Velocity template language. Our Content Management System already checks any generated XML documents for well-formedness. We've been asked to check documents to catch Veloc...,2009,2009
